did,name,NumberOfClasses,NumberOfInstances,NumberOfFeatures,NumberOfMissingValues,classes_bin,samples_bin,features_bin_metadata,cell_metadata
44131,jannis,2.0,57580.0,55.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
44094,jannis,2.0,57580.0,55.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
255,BNG(cmc),3.0,55296.0,10.0,0.0,3,10000+,5-10,classes=3 | samples=10000+ | features=5-10
119,"BNG(cmc,nominal,55296)",3.0,55296.0,10.0,0.0,3,10000+,5-10,classes=3 | samples=10000+ | features=5-10
44321,Meta_Album_PLT_VIL_Extended,38.0,54305.0,3.0,0.0,15+,10000+,3-5,classes=15+ | samples=10000+ | features=3-5
41988,GTSRB-HOG02,43.0,51839.0,1569.0,0.0,15+,10000+,100+,classes=15+ | samples=10000+ | features=100+
41986,GTSRB-HOG01,43.0,51839.0,1569.0,0.0,15+,10000+,100+,classes=15+ | samples=10000+ | features=100+
41990,GTSRB-HueHist,43.0,51839.0,257.0,0.0,15+,10000+,100+,classes=15+ | samples=10000+ | features=100+
41989,GTSRB-HOG03,43.0,51839.0,2917.0,0.0,15+,10000+,100+,classes=15+ | samples=10000+ | features=100+
46770,Meta_Album_BRD_Extended,315.0,49053.0,3.0,0.0,15+,10000+,3-5,classes=15+ | samples=10000+ | features=3-5
45068,adult,2.0,48842.0,15.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
46070,Stylized_Meta_Album_TEX_DTD_STY_Extended,20.0,48000.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
40985,tamilnadu-electricity,20.0,45781.0,4.0,0.0,15+,10000+,3-5,classes=15+ | samples=10000+ | features=3-5
151,electricity,2.0,45312.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
1461,bank-marketing,2.0,45211.0,17.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
46910,bank-marketing,2.0,45211.0,14.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
44234,Bank_marketing_data_set_UCI,2.0,45211.0,17.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
46554,Loan_Status,2.0,45000.0,14.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
46563,Loan_Approval_Status_Classification,2.0,45000.0,14.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
46553,Loan_Status,2.0,45000.0,14.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
46565,Loan_Approval_Status,2.0,45000.0,14.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41027,jungle_chess_2pcs_raw_endgame_complete,3.0,44819.0,7.0,0.0,3,10000+,5-10,classes=3 | samples=10000+ | features=5-10
41779,FOREX_eursek-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41763,FOREX_audcad-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41780,FOREX_usdchf-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41777,FOREX_eurjpy-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41762,FOREX_audsgd-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41860,FOREX_eurusd-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41859,FOREX_eurnok-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41781,FOREX_audcad-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41782,FOREX_usdjpy-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41712,FOREX_eurcad-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41715,FOREX_eurhuf-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41759,FOREX_eurtry-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41758,FOREX_eursgd-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41885,FOREX_chfsgd-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41884,FOREX_nzdusd-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41879,FOREX_gbpusd-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41881,FOREX_chfjpy-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41871,FOREX_usddkk-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41870,FOREX_chfjpy-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41865,FOREX_audsgd-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41862,FOREX_eurrub-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41723,FOREX_cadchf-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41736,FOREX_eurhuf-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41734,FOREX_eurpln-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41727,FOREX_usdcad-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41718,FOREX_audjpy-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41886,FOREX_eurnzd-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41893,FOREX_eursgd-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41891,FOREX_eurcad-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41896,FOREX_eursek-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41898,FOREX_audnzd-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41889,FOREX_eurjpy-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41888,FOREX_audchf-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41739,FOREX_eurhkd-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41773,FOREX_eurtry-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41768,FOREX_eurnok-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41767,FOREX_cadjpy-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41709,FOREX_audchf-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41742,FOREX_eurgbp-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41816,FOREX_usddkk-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41831,FOREX_eurdkk-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41883,FOREX_eurnzd-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41878,FOREX_audusd-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41873,FOREX_eurusd-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41877,FOREX_eurchf-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41828,FOREX_usdcad-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41838,FOREX_cadchf-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41842,FOREX_eurchf-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41843,FOREX_audusd-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41851,FOREX_usdjpy-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41856,FOREX_eurdkk-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41832,FOREX_nzdusd-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41833,FOREX_cadjpy-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41799,FOREX_eurhkd-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41820,FOREX_chfsgd-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41804,FOREX_gbpusd-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41787,FOREX_eurpln-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41825,FOREX_audnzd-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41827,FOREX_euraud-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41824,FOREX_eurgbp-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41835,FOREX_euraud-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41805,FOREX_eurrub-hour-High,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41806,FOREX_audjpy-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41792,FOREX_usdchf-hour-Close,2.0,43825.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
46049,Stylized_Meta_Album_PLT_DOC_STY_Extended,20.0,42620.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
881,mv,2.0,40768.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
901,fried,2.0,40768.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
727,2dplanes,2.0,40768.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41434,Click_prediction_small,2.0,39948.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
42733,Click_prediction_small,2.0,39948.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
1220,Click_prediction_small,2.0,39948.0,10.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
42717,Click_prediction_small,2.0,39948.0,10.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
43901,click_prediction_small,2.0,39926.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
251,BNG(breast-w),2.0,39366.0,10.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
137,BNG(tic-tac-toe),2.0,39366.0,10.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
44080,electricity,2.0,38474.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
44111,electricity,2.0,38474.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
43964,electricity,2.0,38474.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
43966,electricity,2.0,38474.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
43952,electricity,2.0,38474.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
43945,electricity,2.0,38474.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
43951,electricity,2.0,38474.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
43950,electricity,2.0,38474.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
43953,electricity,2.0,38474.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
44033,electricity,2.0,38474.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
44156,electricity,2.0,38474.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
44120,electricity,2.0,38474.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
350,webdata_wXa,2.0,36974.0,124.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
44333,Meta_Album_RSICB_Extended,45.0,36707.0,3.0,0.0,15+,10000+,3-5,classes=15+ | samples=10000+ | features=3-5
1486,nomao,2.0,34465.0,119.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
43551,Employee-Turnover-at-TECHCO,2.0,34452.0,10.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
43900,amazon_employee_access,2.0,32769.0,10.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
4135,Amazon_employee_access,2.0,32769.0,10.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
46905,Amazon_employee_access,2.0,32769.0,10.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
1537,volcanoes-c1,5.0,28626.0,4.0,0.0,5,10000+,3-5,classes=5 | samples=10000+ | features=3-5
184,kropt,18.0,28056.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
46173,King-rook-vs-King,18.0,28056.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
1481,kr-vs-k,18.0,28056.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
46045,Stylized_Meta_Album_MED_LF_STY_Extended,20.0,27900.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
46682,CodeXGLUE,2.0,27318.0,6.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
42493,airlines,2.0,26969.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
45067,okcupid_stem,3.0,26677.0,14.0,0.0,3,10000+,10-20,classes=3 | samples=10000+ | features=10-20
45037,BitcoinHeist_Ransomware,2.0,24780.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
821,house_16H,2.0,22784.0,17.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
843,house_8L,2.0,22784.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
43890,law-school-admission-bianry,2.0,20800.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
43904,law-school-admission-bianry,2.0,20800.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
45578,California-Housing-Classification,2.0,20640.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
823,houses,2.0,20640.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
45028,california,2.0,20634.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
45025,california,2.0,20634.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
43979,california,2.0,20634.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
44090,california,2.0,20634.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
977,letter,2.0,20000.0,17.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
6,letter,26.0,20000.0,17.0,0.0,15+,10000+,10-20,classes=15+ | samples=10000+ | features=10-20
41159,guillermo,2.0,20000.0,4297.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
41161,riccardo,2.0,20000.0,4297.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
1120,MagicTelescope,2.0,19020.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
45558,Pulsar-Dataset-HTRU2,2.0,17898.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
45027,credit,2.0,16714.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
44089,credit,2.0,16714.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
46543,dataset_credit,2.0,16714.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
46376,credit,2.0,16714.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
45024,credit,2.0,16714.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
44162,compass,2.0,16644.0,18.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
846,elevators,2.0,16599.0,19.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
46054,Stylized_Meta_Album_PLT_NET_STY_Mini,20.0,16000.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
46030,Stylized_Meta_Album_AWA_STY_Mini,20.0,16000.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
46038,Stylized_Meta_Album_DOG_STY_Mini,20.0,16000.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
46058,Stylized_Meta_Album_RESISC_STY_Mini,20.0,16000.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
46071,Stylized_Meta_Album_TEX_DTD_STY_Mini,20.0,16000.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
42812,PCam16k,2.0,16000.0,27649.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
46067,Stylized_Meta_Album_SPT_STY_Mini,20.0,16000.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
46063,Stylized_Meta_Album_RSICB_STY_Mini,20.0,16000.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
42811,PCam16k,2.0,16000.0,27649.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
46046,Stylized_Meta_Album_MED_LF_STY_Mini,20.0,16000.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
46026,Stylized_Meta_Album_APL_STY_Mini,20.0,16000.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
46042,Stylized_Meta_Album_INS2_STY_Mini,20.0,16000.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
46050,Stylized_Meta_Album_PLT_DOC_STY_Mini,20.0,16000.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
46034,Stylized_Meta_Album_BRD_STY_Mini,20.0,16000.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
45936,IndoorScenes,67.0,15620.0,3.0,0.0,15+,10000+,3-5,classes=15+ | samples=10000+ | features=3-5
45923,IndoorScenes,67.0,15620.0,3.0,0.0,15+,10000+,3-5,classes=15+ | samples=10000+ | features=3-5
1046,mozilla4,2.0,15545.0,6.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
44335,Meta_Album_FNG_Extended,25.0,15122.0,3.0,0.0,15+,10000+,3-5,classes=15+ | samples=10000+ | features=3-5
722,pol,2.0,15000.0,49.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
1471,eeg-eye-state,2.0,14980.0,15.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
1040,sylva_prior,2.0,14395.0,109.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
734,ailerons,2.0,13750.0,41.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
44114,house_16H,2.0,13488.0,17.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
43969,house_16H,2.0,13488.0,17.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
43957,house_16H,2.0,13488.0,17.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
44083,house_16H,2.0,13488.0,17.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
44123,house_16H,2.0,13488.0,17.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
44070,MagicTelescope,2.0,13376.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
44073,MagicTelescope,2.0,13376.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
44085,MagicTelescope,2.0,13376.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
44116,MagicTelescope,2.0,13376.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
43971,MagicTelescope,2.0,13376.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
44125,MagicTelescope,2.0,13376.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
43923,mushroom,5.0,12960.0,9.0,0.0,5,10000+,5-10,classes=5 | samples=10000+ | features=5-10
26,nursery,5.0,12960.0,9.0,0.0,5,10000+,5-10,classes=5 | samples=10000+ | features=5-10
959,nursery,2.0,12960.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
43938,nursery,5.0,12960.0,9.0,0.0,5,10000+,5-10,classes=5 | samples=10000+ | features=5-10
46947,online_shoppers_intention,2.0,12330.0,18.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
45060,online_shoppers,2.0,12330.0,18.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
45560,online-shoppers-intention,2.0,12330.0,18.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
310,mammography,2.0,11183.0,7.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
46924,E-CommereShippingData,2.0,10999.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
1019,pendigits,2.0,10992.0,17.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
1532,volcanoes-b2,5.0,10668.0,4.0,0.0,5,10000+,3-5,classes=5 | samples=10000+ | features=3-5
44126,bank-marketing,2.0,10578.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
44117,bank-marketing,2.0,10578.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
44086,bank-marketing,2.0,10578.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
43972,bank-marketing,2.0,10578.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
44074,bank-marketing,2.0,10578.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
44071,bank-marketing,2.0,10578.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
1533,volcanoes-b3,5.0,10386.0,4.0,0.0,5,10000+,3-5,classes=5 | samples=10000+ | features=3-5
46819,WBCAtt,5.0,10298.0,12.0,0.0,5,10000+,10-20,classes=5 | samples=10000+ | features=10-20
46676,WBCAtt,5.0,10298.0,12.0,0.0,5,10000+,10-20,classes=5 | samples=10000+ | features=10-20
1534,volcanoes-b4,5.0,10190.0,4.0,0.0,5,10000+,3-5,classes=5 | samples=10000+ | features=3-5
1531,volcanoes-b1,5.0,10176.0,4.0,0.0,5,10000+,3-5,classes=5 | samples=10000+ | features=3-5
1536,volcanoes-b6,5.0,10130.0,4.0,0.0,5,10000+,3-5,classes=5 | samples=10000+ | features=3-5
46868,Phishing_Legitimate_full,2.0,10000.0,49.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
46298,electrical_grid_stability_simulated_classification,2.0,10000.0,13.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41163,dilbert,5.0,10000.0,2001.0,0.0,5,10000+,100+,classes=5 | samples=10000+ | features=100+
45569,DBLP-QuAD,9999.0,10000.0,10.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
46911,Bank_Customer_Churn,2.0,10000.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
1535,volcanoes-b5,5.0,9989.0,4.0,0.0,5,10000+,3-5,classes=5 | samples=10000+ | features=3-5
976,JapaneseVowels,2.0,9961.0,15.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
390,new3s.wc,44.0,9558.0,26833.0,0.0,15+,10000+,100+,classes=15+ | samples=10000+ | features=100+
819,delta_elevators,2.0,9517.0,7.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
1540,volcanoes-d3,5.0,9285.0,4.0,0.0,5,10000+,3-5,classes=5 | samples=10000+ | features=3-5
1539,volcanoes-d2,5.0,9172.0,4.0,0.0,5,10000+,3-5,classes=5 | samples=10000+ | features=3-5
41972,Indian_pines,8.0,9144.0,221.0,0.0,7-8,10000+,100+,classes=7-8 | samples=10000+ | features=100+
1538,volcanoes-d1,5.0,8753.0,4.0,0.0,5,10000+,3-5,classes=5 | samples=10000+ | features=3-5
1541,volcanoes-d4,5.0,8654.0,4.0,0.0,5,10000+,3-5,classes=5 | samples=10000+ | features=3-5
923,visualizing_soil,2.0,8641.0,5.0,0.0,2,10000+,3-5,classes=2 | samples=10000+ | features=3-5
41164,fabert,7.0,8237.0,801.0,0.0,7-8,10000+,100+,classes=7-8 | samples=10000+ | features=100+
816,puma8NH,2.0,8192.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
735,cpu_small,2.0,8192.0,13.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
725,bank8FM,2.0,8192.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
807,kin8nm,2.0,8192.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
43993,isolet,26.0,7797.0,614.0,0.0,15+,10000+,100+,classes=15+ | samples=10000+ | features=100+
44010,isolet,26.0,7797.0,614.0,0.0,15+,10000+,100+,classes=15+ | samples=10000+ | features=100+
300,isolet,26.0,7797.0,618.0,0.0,15+,10000+,100+,classes=15+ | samples=10000+ | features=100+
43985,isolet,26.0,7797.0,614.0,0.0,15+,10000+,100+,classes=15+ | samples=10000+ | features=100+
